Gene	Module
TSPAN6	geneM3
TNMD	geneM0
DPM1	geneM0
SCYL3	geneM4
C1orf112	geneM0
FGR	geneM5
CFH	geneM27
FUCA2	geneM3
GCLC	geneM2
NFYA	geneM0
STPG1	geneM1
NIPAL3	geneM2
LAS1L	geneM8
ENPP4	geneM2
SEMA3F	geneM5
CFTR	geneM2
ANKIB1	geneM2
CYP51A1	geneM2
KRIT1	geneM1
RAD52	geneM24
BAD	geneM12
LAP3	geneM5
CD99	geneM3
HS3ST1	geneM1
WNT16	geneM0
HECW1	geneM1
MAD1L1	geneM14
LASP1	geneM0
SNX11	geneM0
TMEM176A	geneM3
M6PR	geneM0
KLHL13	geneM18
CYP26B1	geneM1
ICA1	geneM8
DBNDD1	geneM12
ALS2	geneM1
CASP10	geneM26
CFLAR	geneM3
TFPI	geneM5
NDUFAF7	geneM1
RBM5	geneM9
MTMR7	geneM1
SLC7A2	geneM3
ARF5	geneM4
SARM1	geneM0
POLDIP2	geneM0
PLXND1	geneM0
AK2	geneM0
CD38	geneM3
FKBP4	geneM10
KDM1A	geneM19
RBM6	geneM14
CAMKK1	geneM1
RECQL	geneM0
CCDC132	geneM1
HSPB6	geneM3
ARHGAP33	geneM17
NDUFAB1	geneM33
PDK4	geneM3
ZMYND10	geneM0
ARX	geneM23
SLC25A13	geneM2
ST7	geneM3
CDC27	geneM8
HCCS	geneM0
DVL2	geneM0
UPF1	geneM0
SKAP2	geneM7
SLC25A5	geneM0
CCDC109B	geneM0
POLR2J	geneM0
DHX33	geneM1
THSD7A	geneM23
LIG3	geneM0
RPAP3	geneM0
ACSM3	geneM4
AC004381.6	geneM4
CIAPIN1	geneM9
SPPL2B	geneM14
FAM214B	geneM4
COPZ2	geneM3
PRKAR2B	geneM16
MSL3	geneM1
CREBBP	geneM7
BZRAP1	geneM12
MPO	geneM4
PON1	geneM3
GCFC2	geneM0
WDR54	geneM9
CROT	geneM0
ABCB4	geneM6
KMT2E	geneM11
RHBDD2	geneM7
SOX8	geneM2
IBTK	geneM0
ZNF195	geneM0
MYCBP2	geneM1
FBXL3	geneM2
ITGAL	geneM6
PDK2	geneM1
ITGA3	geneM8
ZFX	geneM2
LAMP2	geneM2
GGNBP2	geneM19
ITGA2B	geneM13
ASB4	geneM3
GDE1	geneM2
C19orf60	geneM0
CRLF1	geneM0
OSBPL7	geneM0
TMEM98	geneM2
YBX2	geneM0
MAP3K14	geneM0
ABCC8	geneM8
CCL3	geneM6
SYNRG	geneM29
CACNG3	geneM7
TMEM132A	geneM3
AP2B1	geneM7
TAC1	geneM23
ZNF263	geneM0
CX3CL1	geneM2
SPATA20	geneM0
CACNA1G	geneM1
