"","Set","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"1","C4A-negative",1,TRUE,0.00131,44,931,12,0.013,0.273,"GO:0048016","BP",38,"inositol phosphate-mediated signaling",1,"INPP5A,GSK3B,PPP3CB,FHL2,PPP3CA,ITPR1,AKAP6,CAMTA1,RCAN2,CHP1,HRH1,PPP3R1"
"2","C4A-negative",1,TRUE,0.014,35,931,9,0.01,0.257,"GO:0097720","BP",38,"calcineurin-mediated signaling",1,"GSK3B,PPP3CB,FHL2,PPP3CA,AKAP6,CAMTA1,RCAN2,CHP1,PPP3R1"
"3","C4A-negative",1,TRUE,0.0122,34,931,9,0.01,0.265,"GO:0033173","BP",38,"calcineurin-NFAT signaling cascade",2,"GSK3B,PPP3CB,FHL2,PPP3CA,AKAP6,CAMTA1,RCAN2,CHP1,PPP3R1"
"4","C4A-negative",1,TRUE,0.0414,34,931,8,0.009,0.235,"GO:0014047","BP",28,"glutamate secretion",1,"SYT1,SLC1A1,GLS,SYT4,GLS2,SNCA,GRM2,CCK"
"5","C4A-negative",1,TRUE,0.0438,618,931,58,0.062,0.094,"GO:0050801","BP",8,"ion homeostasis",1,"TAC1,ATP6V0A1,PIK3CB,CUL1,ATG5,PTPN3,ATP2B1,TRPC5,SNX10,SLC7A8,HTR2A,HMOX2,DMXL2,SCN1B,CCKBR,KCNA1,CAND1,SKP1,CLDN16,FGF12,ATP6V1A,GOT1,VAPB,MCHR1,C19ORF12,TRPC3,VPS33A,ADCYAP1,ATP1B1,SLC4A10,SNCA,KLHL3,HTR2C,CRH,ITPR1,AKAP6,UBASH3B,KCNMA1,SV2A,MFI2,SFXN1,STEAP1,RIC3,DRD5,ADRA1B,PRKCE,KCNK3,DRD1,CYP4A11,CCK,CHP1,SLC39A10,MAFG,MYO5A,RYR2,STK39,FAM155A,MLLT11"
"6","C4A-negative",1,TRUE,0.0122,112,931,18,0.019,0.161,"GO:0060359","BP",51,"response to ammonium ion",1,"TAC1,GABRA1,HTR2A,GABRG2,RGS4,ASS1,CHRM3,SNCA,CRH,HOMER1,CDK5,KCNC2,DRD5,PRKCE,CHRM2,DRD1,HRH1,ATG7"
"7","C4A-negative",1,TRUE,0.000226,375,931,48,0.052,0.128,"GO:0042391","BP",47,"regulation of membrane potential",1,"TAC1,GABRA1,PTPN3,TRPC5,RIMS1,GSK3B,P2RX6,CELF4,CACNA1F,SCN1B,STX1A,GLRB,KCNA1,FGF12,RIMS3,RGS4,GOT1,GRIA3,PANK2,POPDC3,KCNK1,SCN2A,PPA2,PPP3CA,ADCYAP1,ATP1B1,KCNH1,CNIH3,SNCA,AKAP6,GRIA4,PID1,KCNMA1,HCN1,CDK5,NETO1,KCNK3,KCND3,NPAS4,RIMS2,SCN4B,KCNA2,CACNB4,DRD1,CCK,SCN8A,RYR2,MLLT11"
"8","C4A-negative",1,TRUE,0.0395,117,931,17,0.018,0.145,"GO:0060078","BP",47,"regulation of postsynaptic membrane potential",2,"GABRA1,RIMS1,GSK3B,P2RX6,CELF4,STX1A,GLRB,RGS4,GRIA3,PPP3CA,ADCYAP1,SNCA,GRIA4,CDK5,NETO1,NPAS4,RIMS2"
"9","C4A-negative",1,TRUE,7.74e-05,504,931,61,0.066,0.121,"GO:0007610","BP",44,"behavior",1,"TAC1,PAFAH1B1,APBA2,VPS35,GAL,HTR2A,NDRG4,NPTX2,PPP3CB,CPEB3,GLRB,FIG4,HMGCR,GABRG2,FGF12,GLS,NR4A3,PAIP2,ATXN1,MCHR1,EIF2AK4,SNAP25,SYT4,ATP8A2,UNC79,CHL1,MRAP2,C12ORF10,NOVA1,ADCYAP1,SLC4A10,SNCA,PLK2,HTR2C,CRH,SHC3,HOMER1,ANKH,UCHL1,SYNJ1,ELAVL4,OXR1,CDK5,STRBP,HPRT1,GPR176,NETO1,KCNAB1,DRD5,PRKCE,NPAS4,KCNA2,DRD1,CCK,HRH1,MAFG,ADARB1,MYO5A,BHLHB9,PJA2,ETV5"
"10","C4A-negative",1,TRUE,0.011,171,931,24,0.026,0.14,"GO:0007626","BP",44,"locomotory behavior",2,"PAFAH1B1,APBA2,VPS35,PPP3CB,GLRB,FIG4,FGF12,SNAP25,CHL1,C12ORF10,NOVA1,SLC4A10,SNCA,HTR2C,CRH,ANKH,UCHL1,ELAVL4,OXR1,HPRT1,PRKCE,DRD1,MYO5A,ETV5"
